Kode Soal,jawaban,skor,pertanyaan,rubrik
1,Mechine Learing adalah otak,0,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"- Supervised Learning
- Deep learning",5,Jelaskan jenis-jenis dari machine learning?,
3,Data adalah sekumpulan informasi awal untuk sebuah kebutuhan machine,5,Apa yang dimaksud dengan data?,
4,Data set adalah sekumpulan data (Informasi) mentah yang akan diolah,10,Apa yang dimaksud dengan dataset?,
5,Preprocessing dataset adalah proses pengelolaan/pengecekan kualitas data,0,Apa yang dimaksud dengan Preprocessing Dataset?,
6,Augmented dataset adalah Penyelekkan kemiripan data yang telah terkumpul contoh nya menyelek kemiripan gambar,0,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"-
- Algoritma Clasification adalah tahap mengklasifikasi data yang telah terkumpul
- Algoritma clustering adalah tahap pengelompokkan data yang telah terkumpul",5,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
1,Machine Learning adalah costum ai yang memungkinkan komputer belajar dari data yang diberikan tanpa program,10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"Supervised learning adalah belajar data mengunakan label 
unsuversed learning adalah belajar tanpa menggunakan label",10,Jelaskan jenis-jenis dari machine learning?,
3,Data adalah sekumpulan Fakta atau informasi yang diolah,10,Apa yang dimaksud dengan data?,
4,Dataset adalah sebuah data yang tersusun dalam label atau file yang digunakan sebagai bahan,5,Apa yang dimaksud dengan dataset?,
5,Processing dataset adalah membersihkan dan mengumpulkan data yang akan digunakan,10,Apa yang dimaksud dengan Preprocessing Dataset?,
6,"Augmented dataset adalah data yang dimodifikasi atau di perbaharui
Contoh :",0,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"Algoritma regression adalah untuk memprediksi nilai numerik 
clasification adalah mengelompokkan data ke kelas tertentu clustering adalah mengelompokkan data berdasarkan kemiripan label",10,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,Metode evaluasi,0,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
1,Sebuah lanjutan kecerdasan buatan untuk menambah algoritma komputer dalam memproses data.,5,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"- Supervised learning : model belajar menggunakan data yang telah dilabel
- unsupervised learning : model yang belajar data tanpa label
- semi supervised :",5,Jelaskan jenis-jenis dari machine learning?,
3,Data adalah sekumpulan informasi atau fakta yang dikumpukan dan dianalisakan sehingga menjadi olahan informasi yang disebut data,10,Apa yang dimaksud dengan data?,
4,"Dataset adalah sekumpulan data atau bahan untuk data ingin menguji atau mencoba metode"" yang ada pada machine learning",10,Apa yang dimaksud dengan dataset?,
5,Preprocessing Dataset adalah proses untuk membuat dataset lebih mudah di mengenali atau dipaki oleh mesin,5,Apa yang dimaksud dengan Preprocessing Dataset?,
6,"Augmen dataset adalah model yang memahami citra lebih besar dan lebih jelas
contoh metodenya: Smotee-ENN",0,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"Regresi : adalah algoritma yang bertujuan tung meregresi
clasification: adalah algoritma yang dibuat agar bisa membatu satu sama lain
clustering: algoritma yang perkelompok",0,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,evaluasi : sangat cocok untuk ketiga algoritma itu karena model ini menjadikan sebuah dataset lebih mudah dipahami,0,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,"menghitung: keburaman, menghitung noise, warna dan lainn2",0,Jelaskan bagaimana cara kerja metode K Means Clustering?,
10,biasanya dia menggunakan rumus setelah itu nanti dataset bakal menentukan nilainya,0,Jelaskan Bagaimana menentukan nilai K awal dalam metode K Means Clustering?,
1,Machine learning adalah komputer mempelajari dari data,10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"- supervised learning
- unsupervised learning
-
-",5,Jelaskan jenis-jenis dari machine learning?,
3,Data adalah fakta mentah yang belum diolah,10,Apa yang dimaksud dengan data?,
4,Dataset adalah data atau fakta untuk di training dan siap digunakan,10,Apa yang dimaksud dengan dataset?,
5,preprocessing dataset adalah menyiapkan dataset untuk diproses/digunakan,5,Apa yang dimaksud dengan Preprocessing Dataset?,
6,Augmented Dataset menambahkan validasi data,5,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"- Algoritma classification → mengklasifikasi data berdasarkan jenisnya atau memilah-milah data
- Algoritma clustering → mengclusterkan atau mengelompokkan data
- Algoritma Regression →",5,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
1,"Machine learning adalah teknik yang memungkinkan komputer belajar dari data yang diberikan, kemudian digunakan untuk memprediksi, mengklusterisasi, dll.",10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"machine learning terbagi menjadi 2 yaitu supervised learning dan unsupervised learning
a. supervised learning: datanya sudah berlabel
b. unsupervised learning: datanya tidak berlabel",10,Jelaskan jenis-jenis dari machine learning?,
3,"Data ialah sekumpulan informasi, dan fakta dalam berbagai bentuk dan bisa diolah",10,Apa yang dimaksud dengan data?,
4,Dataset ialah sekumpulan data yang sudah dilabeli,10,Apa yang dimaksud dengan dataset?,
5,"Preprosesing dataset ialah proses sebelum dataset benar-benar siap dipakai, contoh prosesnya ialah resize yaitu menyamakan ukuran gambar, rescale, untuk mengolah piksel gambar, kemudian juga menghilangk noise",10,Apa yang dimaksud dengan Preprocessing Dataset?,
6,"Augmented Dataset ialah teknik membuat data menjadi bervariasi.
Contohnya data diputar balik arahnya, bisa klip, kemudian data gambar rotatenya diatur sedemikian rupa",10,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"a. Algoritma Regression ialah algoritma yang memprediksi, umumnya memprediksi nilai, seperti memprediksi harga rumah
b. Algoritma Classification adalah algoritma yang tujuannya mengelompokkan, algoritma ini mempunyai dataset berlabel, contohnya memakai helm atau tidak memakai helm.
c. algoritma Clustering ialah algoritma yang mengelompokkan berdasarkan kemiripan karakteristiknya. Algoritma ini tidak mempunyai label.",10,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"a. evaluasi classification: presisi, accuracy, f1 score, recall
b. evaluasi Clustering: DBI, CH
c. evaluasi Regression:",5,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,metode K Means Clustering ialah metode yang mengelompokkan data dengan menentukan nilai k sebagai jumlah klusternya,5,Jelaskan bagaimana cara kerja metode K Means Clustering?,
